Date,HiTemp
7/1/08,15.4
8/1/08,14.7
9/1/08,16.4
10/1/08,22.4
11/1/08,18.4
12/1/08,20.8
1/1/09,20.4
2/1/09,33.8
3/1/09,19.8
4/1/09,29.8
5/1/09,14.9
6/1/09,14.8
7/1/09,15.6
8/1/09,16.6
9/1/09,16
10/1/09,16.6
11/1/09,20.1
12/1/09,22.7
1/1/10,20.8
2/1/10,24.9
3/1/10,21.4
4/1/10,24
5/1/10,20.9
6/1/10,17.6
7/1/10,12.3
8/1/10,13.9
9/1/10,13.3
10/1/10,18.4
11/1/10,16.7
12/1/10,26.6
1/1/11,23.1
2/1/11,40.2
3/1/11,19.5
4/1/11,NA
5/1/11,21
6/1/11,18.3
7/1/11,17.3
8/1/11,18.6
9/1/11,16.7
10/1/11,14
11/1/11,17.9
12/1/11,18.7
1/1/12,33.9
2/1/12,24.5
3/1/12,20.8
4/1/12,NA
5/1/12,NA
6/1/12,17.7
7/1/12,10.5
8/1/12,14.2
9/1/12,15.3
10/1/12,18.2
11/1/12,16
12/1/12,
1/1/13,25.3
2/1/13,NA
3/1/13,25.1
4/1/13,20.1
5/1/13,16.5
6/1/13,16.3
7/1/13,18.1
8/1/13,14.8
9/1/13,23.8
10/1/13,17.7
11/1/13,22.7
12/1/13,31
1/1/14,26.3
2/1/14,30.2
3/1/14,24.2
4/1/14,33.4
5/1/14,16.2
6/1/14,15.1
7/1/14,13.4
8/1/14,10.3
9/1/14,15.4
10/1/14,16.6
11/1/14,17.9
12/1/14,29.3
1/1/15,27.3
2/1/15,NA
3/1/15,
4/1/15,21.7
5/1/15,22.6
6/1/15,NA
7/1/15,18.1
8/1/15,14.8
9/1/15,23.8
10/1/15,NA
11/1/15,NA
12/1/15,NA
1/1/16,20.5
2/1/16,25.3
3/1/16,NA
4/1/16,30.1
5/1/16,17
6/1/16,17
7/1/16,14.1
8/1/16,14.4
9/1/16,15.5
10/1/16,18.6
11/1/16,18.4
12/1/16,21.9
1/1/17,21.1
2/1/17,20.6
3/1/17,30.5
4/1/17,19
5/1/17,20.4
6/1/17,13.9